"","x"
"658","Ya kalo udah baca sama kalo udah merasakan hasilnya bakal nyesel pasti, kaya pas kartu prakerja toh skrg pda merasakan hasilnya <U+0001F601>
#BarisanProKerja
#OptimisIndonesiaPulih https://t.co/Bn4f5wPekT"
"659","Gaterasa udah abis jatah prakerja :((( https://t.co/tDnDqDCeNg"
"660","@handokotjung Prakerja udah ada juga koh https://t.co/IOD7xYTRwa"
"661","Kartu prakerja udah ada storynya https://t.co/bYUDc9GMEM"
"662","Penerima BANTUAN SUBSIDI UPAH BSU, bagi yg lolos dan mendapatkan gaji prakerja sepertinya ga akan bisa mencairkan dana BSU karena ada tanda tangan yg bermaterai 

https://t.co/ixk5eQ2RIy"
"663","@tokopedia Selamat sore min..
Saya mau konfirmasi dengan kendala sertifikat saya yang belum muncul di dashboard prakerja.. sedangkan saya sudah mengisi rating dan ulasan di tokopedia.. 
Mohon bantuan nya. Terima kasih.<U+0001F64F>"
"664","Harta
Tahta
Prakerja
Telimakacih<U+0001F600><U+0001F92D> https://t.co/IobQ2Flyg3"
"665","@gojekindonesia min kenapa otp gak masuk sih.. saya mau cek insentif prakerja <U+0001F62D>"
"666","Utk menerima bantuan BSU kemdikbud Rp. 1.800.000 simak syaratnya dibawah ini :

1. WN Indonesia
2. Berstatus bukan sbg Pegawai Negeri Sipil (PNS)
3. Tdk menerima subsidi upah dari Kemenaker sampai dengan 1 Oktober 2020.
4. Tdk menerima Kartu Prakerja sampai dgn tgl 1 Okt. 2020."
"667","@VICE_ID Sepertinya mereka berpikir ini lebih efisien daripada prakerja, okeoce dll <U+0001F601>"
"668","@fajarsuryadew Twitter distribusi fiturnya per gelombang jar, gamau kalah sama program kartu prakerja"
"669","Nunggu prakerja gelombang 12 lama juga ya"
"670","Halaman prakerja putih/blank

https://t.co/iy7s15HZsh"
"671","ahh ngentot bgt salkir ngomongin duit prakerja di grup angkatan, jadi ketauan muka muka penerima bansos nih hahaha"
"672","Dashboard prakerja kenapa sih gabisa kebuka intensifnya"
"673","@aditiya_P @fikaalattas Cek coba udah belom? Lo ikut prakerja gak ?"
"674","Untung duit prakerja gw masi ada, bisa beli paket pelatihan yg berguna lg."
"675","Mau ambil latihan prakerja yang materi Barista, ada ga ya"
"676","@Dwivyandre Berasa daftar prakerja"
"677","@labyod @sastropwr @prastow @KetumProDEM Skg kartu prakerja yg lagi booming..udah buat blom??"
"678","@BPJSTKinfo Bukan prakerja,tapi yg bsu untuk buruh"
"679","tumben prakerja cair nya cepet, kalo sesuai jadwal sih mestinya besok. tapi hari ini udah cair dong hihihi <U+0001F917>"
"680","@masa_depan_mu_ Punya telegram sih, tapi aku ga pernah pake wkwkkw cumq buat prakerja doang"
"681","@sabdaharry prakerja buat hura hura"
"682","Persyaratan bantuan subsidi Kemendikbud :

1. Warga negara Indonesia (WNI)
2. Berstatus bukan PNS
3. Tidak menerima BSU dari Kemenaker sampai 1 Oktober 2020
4. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020
5. Berpenghasilan di bawah Rp 5 juta

Presiden @jokowi Pro Rakyat https://t.co/OFVsMkg4c0"
"683","@prakerjagoid halo min, mau nanya dongs, apakah sisa saldo pelatihan prakerja bisa dicairkan atau ditarik tunai?"
"684","Mau nanya dongs ke kalian yang lolos prakerja, sisa saldo pelatihan prakerja bisa dicairkan atau ditarik tunai engga sih?"
"685","@Miyeahhh_ @jawafess Lohh lha duit prakerja wingi wes ntek tah ?"
"686","Masa dr sekian bantuan pemrintah yg dpt cuma dr pak @ganjarpranowo doang...?
Dr prakerja sampe umkm sampe blt gagal. Malah yg dah naek haji bisa dapet... Mau bilang ga adil, takut kena tulah....<U+0001F625><U+0001F625><U+0001F625>"
"687","@Beloved2Tae @monskive Kayanya yang masuk sekantor bukan prakerja. Tapi subsidi pekerja BSU. Prakerja dan BSU beda program pemerintah"
"688","Kabar Gembira! Tak Cuma Prakerja Via www.prakerja login, Daftar Bansos Rencananya Diperpanjang 2021
 
Download aplikasi Tribunnews untuk update berita terbaru 
 
Dapatkan untuk Android: 
https://t.co/MDSEaVQ5OZ
 
 https://t.co/TY3HQlRhFF lewat @tribunnews"
"689","@rvjoohyunt wkwkwkwk kalo gak lolos silahkan coba lagi pada gelombang berikutnya, bukan ai wkwkwk ini tuh prakerja"
"690","Sekprov Kaltara, H Suriansyah mengapresiasi atas hadirnya Direktur Eksekutif, Manajemen Pelaksana Program Kartu Prakerja sebagai atensi khusus pemerintah terhadap dunia kerja di masa pandemi saat ini.
https://t.co/ynv0VgACgt"
"691","di kopisyop antrinya dah kyk antri kartu prakerja ckck"
"692","Prakerja w kenapa ya"
"693","@M_Asmara1701 @fadlizon Si Najwa mah tjebonk sebetulnya..terlihat kalo sdh regim tersudut dia cut!! Maklum tersandera urusan kakaknya soal kartu prakerja!!"
"694","Survey ke 3 Prakerja udah selesai. Apakah nanti akan dapat bantuan lagi setelahnya? @KemnakerRI"
"695","@dreamfantweet Hai Kak. Maaf atas kendalanya ya Kak. Pastikan Kakak sudah isi ulasan di akun Tokopedia terlebih dahulu ya. Jika sudah mengisi ulasan, mohon kirimkan screenshot ulasan tersebut agar dibantu pengecekan. Untuk langkahnya, silakan kunjungi link berikut https://t.co/oRA6nFJ230 Thanks"
"696","@pucukubidotcom Hi Kak. Terima kasih telah menghubungi Tim Tokopedia Care. Saya Guntur, terkait belum menerima sertifikat. mohon menginfokan nomor invoice transaksi atau melampirkan bukti pembayaran yang berhasil pada akun Prakerja yang Kakak miliki. Saya tunggu infonya ya."
"697","@pucukubidotcom Hai Kak, mohon maaf udah bikin nggak nyaman. Terkait kendalanya boleh infokan kembali nomor invoice yang diawali dengan IVR/..../.../.../... pada Riwayat Transaksi Kakak atau Kakak bisa melampirkan screenshot pada Riwayat Prakerja? Agar Guntur bantu pengecekan ya. Terima kasih."
"698","@mnzillaa Hi Kak, saya cek nomor invoice yang Kakak berikan tidak terlacak di sistem. Mohon melampirkan bukti pembayaran yang berhasil pada akun Prakerja yang Kakak miliki. Saya tunggu infonya ya."
"699","@mnzillaa Hi kak, mohon untuk menunggu maksimal 7x24 jam hari kerja, jika sertifikat belum muncul, silakan hubungi contact center Prakerja melalui: Email: info@prakerja.go.id. Call center: 0800-150-3001.Jam operasional Call Center: Hari Senin-Minggu Pukul 08.00 - 20.00 WIB. Terima kasih"
"700","@evvaaah_ Hai Kak. Maaf banget atas kendalanya ya. Terkait kendala Kakak boleh lampirkan screenshoot riwayat transaksi pada akun Prakerjanya. Kakak bisa masuk ke akun Prakerja &gt; Insentif &gt; Riwayat Transaksi. Agar Julia dapat cek lebih lanjut. Julia tunggu lampirannya. Thanks"
"701","@ZananiDede Hi Kak Dede Zanani. Terima kasih telah menghubungi Tim Tokopedia Care. Saya Guntur, terkait belum menerima sertifikat mohon menginfokan nomor invoice transaksi atau melampirkan bukti pembayaran yang berhasil pada akun Prakerja yang Kakak miliki. Saya tunggu infonya ya."
"702","@adityasp_7 Hai Kakak Aditya, Terima kasih atas respon yang positif buat Tokopedia ya. Apabila Kakak mengalami kendala seputar pembelian prakerja boleh informasikan melalui pesan bantuan ini agar kami dapat bantu kendala Kakak. Semoga hari Kakak menyenangkan ya Kak. Thanks"
"703","@RiskiElfira Hai Kaka , Terkait kendala Kaka, saat ini pelatihan Kaka masih dalam proses verifikasi dari PMO (Pihak Prakerja) dan proses verifikasi tersebut masih manual ya, mohon kesediaannya untuk menunggu terlebih dahulu sesuai estimasi yang diinfokan. Terima kasih"
"704","Indonesia Tanah Air ku. Lihatlah Kondisi Generasi mu. Ber4 sekasur, berbagi cerita setiap hari dan meratapi hidup Negeri kepalsuan ini. https://t.co/AJRjVTtbYC belum mampu menjawab pengangguran di tengah Pandemik - Covid_19 https://t.co/7rUBPcceec"
"705","@mohsfzen @lawancovid19_id Seharusnya bisa lewat jalur kartu prakerja. Daftar di https://t.co/e1WOLgXsDb, kemudian https://t.co/I7nIT6us4A. Ini malah dapat training dan insentif yf sama dgn blt 600rb. Jadi sy pikir sdh adil sih BLTnya. Yg sdh kerja lewat bpjs ketenagakerjaan, yg belum kerja lewat prakerja"
"706","@Manamechax Dapat 2,4 juta juga bisa, ikut prakerja"
"707","@diakuajadeh karna lagi ada prakerja jadi agak lama kak sye, sekitar 3-4 hari"
"708","Login https://t.co/qFyXoYfsLW, Kartu Prakerja Gelombang 11 RESMI Diumumkan, Ikuti 5 Langkah Mudah Berikut https://t.co/lkDVrZkeQ4"
"709","Sebelum Corona menjadi ancaman di hidup gue.
Isi handphone :
-whatshap
-instagrm
-riliv
-sidoni

Dan setelah Corona menjadi ancaman :
-whatshap
-instgram
-iflix
-telegram
-twiter
-viu
-sidoni
-michat
-tkopedia
-shopie
-prakerja
-jobstret
-infoloker
-ovo
-riliv
-stories
-halodok"
"710","@makLambeTurah Gue yakin sih, dari mereka semua yang datang ke Petamburan pasti ada yg ikutan daftar Prakerja, atau bahkan dapet BLT Bulanan .... Wkwkwk"
"711","Kan aku lulus prakerja, udh jalan 3bulan. Nah kemendikbut baru ngeluarin yg untk honorer, tp aku gadapet karna udh kedaftar sma prakerja. Sumpah ya kesel bgt<U+0001F62B><U+0001F62B>"
"712","Nggak ada gunanya PHK karyawan, hotel tutup, OTA ambruk, kartu prakerja. Nggak ada guna kalian semua, kalah sama “pRoToKoL kEseHaTaN”."
"713","Dapet duit dari kartu PRAKERJA aja belagu lu xixixi."
"714","@alfiankebo @badbois_ Tapi 3 bulan terkahir kehidupan mas iwan berubah setelah program prakerja pemerintah, benar tidak?
Hidupnya semakin produktif untuk udut dan ngopi"
"715","@fadels87 Baik kak, mohon maaf bikin ga nyaman. Perihal kendala kakak sertifikat belum muncul di dashboard Prakerja, sebelumnya sudah Bella sampaikan ya kalau kamu sudah menyelesaikan pelatihan Prakerja, kamu memang tidak akan .. https://t.co/XERsRLAj97"
"716","@nayrusz__ Bahagia itu simpel sisa prakerja masuk gaji juga masuk, rasanya aaaah mantap"
"717","@lilsh11t Antri kartu prakerja kak"
"718","@adrifzn @fczr @wirasomantri_ @ramasatya make uang rakyat (prakerja), tapi kesenggol pajak dikit ngambek. makin sini makin makin kamu yah adri"
"719","Kenapa Kartu Prakerja Intensifnya Berwarna Putih Kosong???. Mungkin Ini ... https://t.co/N3V9ZjAPoT lewat @YouTube"
"720","@alipmuslimm model arditho prakerja aja"
"721","Bgst onrolan tukang tadi siang tuh, duet prakerja die nnti caer langsung nak on die. Anjing emng tuhh <U+0001F602>"
"722","@TokopediaCare min, saya selalu gagal mengisi data di Tokopedia care karena transaksi yang akan dikeluarkan sudah lebih dari 1bulan (transaksi bulan september mengenai prakerja) sehingga selalu tidak bisa. https://t.co/5hTCnQeLoE"
"723","@ruthiruth02 Yang dari prakerja itu Ruth"
"724","@polbanfess berubah nder, bukan bantuan TA lagi. bantuan prakerja"
"725","@mocchalatteee ih gimana sih caranya biar lolos prakerja <U+0001F62D>"
"726","@Kemdikbud_RI @litbangdikbud @ditjendikti @Itjen_Kemdikbud @BadanBahasa @puslapdik @PAUDDikdasmen @gtk_kemdikbud @P3GTK_Kemdikbud Masih ada yg sdh dapat prakerja dapat jga BSU, ada yg sama sekali blm dapat bantuan tpi tidak terdata BSU... Program nya masih perlu evaluasi"
"727","@qornialwais adalah sistem gacha, hoki seumur hidup dipake buat lolos prakerja"
"728","Insentif prakerja tahap 2 cair. Lumayan buat beli popok <U+0001F605>"
"729","Sebenernya untuk lolos prakerja itu
Kualifikasinya gimana sih???
Saya bingung tida pernah lolos :))"
"730","@jokowi Ijin Pak, saya belum tersentuh bantuan tunai <U+0001F642>, mau ikut program kartu prakerja tp terbentur waktu krn sy kerja dg pendapatan yg masih minim. Usaha sy umkm kecil yg butuh modal"
"731","@crtfdmindblower dah dapet prakerja masih bu berati tolol ya gak @marumandos"
"732","kalian sek daftar kartu prakerja.. ktrima ga? UMSfess-"
"733","@akusiapacoba___ Lagi overload gopay ngurusin prakerja"
"734","@leksa oh thak kirain koyo penerima kartu prakerja..."
"735","admin @TempoInstitute yth, saya telah menyelesaikan pelatihan ini lebih dari satu minggu yang lalu tapi status di prakerja saya dinyatakan masih aktif. kenapa ya? mohon pencerahannya. Bukankah pihak @TempoInstitute yang berhak untuk melaporkan ini kepada pihak pra kerja? https://t.co/pHmFwOpQNU"
"736","@KemnakerRI 
Ibu menteri insentif kartu prakerja belum ada yang cair dari saya dpt kartu prakerja"
"737","Cara Isi Survei 3 Kartu Prakerja Agar Insentif Cair https://t.co/VpUdzNk3YJ #DariSuara"
"738","@Leonardhikaprio menuju prakerja tuk membangun negri <U+0001F4AA><U+0001F3FE>"
"739","Alhamdulillah, lagi duduk dapet transferan prakerja. Sisa sebulan lagi nih, abis itu gatau harus gimanaaa. Gag ada pemasukan samsek <U+0001F62B>"
"740","Yoi kan ada kartu mahasakti prakerja https://t.co/uH5nbdksmp"
"741","@ikamutiah @WAZZAQI @dahomes Ada prakerja gak disini kak?"
"742","2 minggu bakal dirumah aja, jadi pengen belu PS. Tapi, lupa kalau bagian dari penerima BLT dan Prakerja."
"743","Gak dapet prakerja <U+0001F642> apply apply cv udah, cari duit dmn lg ya brouu"
"744","@priloerwiin @KemnakerRI Saya juga dri pertama gak terima , apa karena ikut prakerja kali yaa"
"745","Pernah dengar cerita Rasullulah selalu memberi makan seorang Yahudi buta, yang ketika sedang disuapin makanan sibuta trus mencaci maki Rasulullah,? 
Persis kayak kamu kamu yg trus cacimaki pemerintah tapi digaji pemerintah, atau rebutan Dana prakerja,BLT,dana corona <U+0001F923><U+0001F923>"
"746","alhamdulillah uang prakerja udah cair<U+0001F923>"
"747","@gojekindonesia min aku mau nanya. Kan prakerja aku udh berhasil di transfer ke gopay aku. Tp karena no yg terdaftar di gopay udh mati terus ilang jd nya gabisa login. itu gimana ya ? Ada solusinya ga biar bisa masuk ke akun gopay prakerja nya ? Makasih min"
"748","@gopayindonesia min aku mau nanya. Kan prakerja aku udh berhasil di transfer ke gopay aku. Tp karena no yg terdaftar di gopay udh mati terus ilang jd nya gabisa login. itu gimana ya ? Ada solusinya ga biar bisa masuk ke akun gopay prakerja nya ? Makasih min"
"749","Akun BlackList #prakerja rasanya amjim banget <U+0001F60D> https://t.co/NfkQAlhPvw"
"750","@SiOmOM Titik kesuksesan terdapat pada kartu prakerja"
"751","@hadiqkurodin @SiOmOM Saya cinta prakerja hahaha"
"752","@hadiqkurodin @SiOmOM Prakerja tepat sasaran"
"753","Bantuan Covid 19, Prakerja,BAnpres UMKM, subsidi Listrik, subsidi BPJS kEmenker, BSU Kemendikbud Untuk Guru , KIP,  Pembukaan CPNS sudah 3X dalm 5 tahun terakhir dan Disusul P3K tahun depan. 
Sarana dan prasarana dibangun.
Thanks Pak @jokowi"
"754","@Kemdikbud_RI @litbangdikbud @ditjendikti @Itjen_Kemdikbud @BadanBahasa @puslapdik @PAUDDikdasmen @gtk_kemdikbud @P3GTK_Kemdikbud Min.. Saran y.. Pengumuman dapat atau tidak mgkn lbh baik lwt ops sekolah atau via SMS seperti prakerja saja.. Kalo harus cek ke web info gtk jadinya malah sistem down begini.. Mau verval ijazah dan edit data jd tidak bisa.."
"755","@PutriVcs13 tanggal 21 mencairkan dana prakerja"
"756","@TokopediaCare Halo admin. Kenapa sertifikat saya belum muncul di dashboard Prakerja. Saya sudah menghubungi pihak prakerja dan skill academy mereka bilang harus hubungi Tokopedia. Saya sudah mengisi ulasan rating di Tokopedia"
"757","Tmnku msh aktif kerja dpt dana pelatihan kartu prakerja, dpt gratisan kuota 100k, masih aja kurang
<U+0001F614><U+0001F614>"
"758","@DiajengLrst @04agusero Dan yg prakerja dapat 600rbu,hahaha"
"759","@TokopediaCare Selamat siang. Saya sudah menyelesaikan semua pelatihan prakerja dan juga sudah menerima sertifikat dari lembaga pelatihan yang saya beli. Saya juga sudah memberi ulasan rating di Tokopedia dan lembaga pelatihan tersebut. Tetapi sy blm terima insentif di prakerja?"
"760","@mnashrl Protes yuk, siapa tau ntr dpt diskon prakerja <U+0001F602><U+0001F602>"
"761","""Aturan ini sangat sederhana dan untuk pemerataan agar semua orang bisa merasakan manfaat bansos. Jadi kita tidak mau tumpang tindih dengan bantuan dari Kemenaker ataupun juga yang semi-bansos dari Prakerja,"" katanya."
"762","""Ini agar tidak tumpang tindih dengan Bansos lainnya yang dilakukan. Bansos BPJS, Bansos Prakerja dan lainnya ya,"" ucap Nadiem."
"763","4. Tidak menerima BSU dari Kementerian Ketenagakerjaan sampai 1 Oktober 2020.
5. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020."
"764","4. Tidak menerima BSU dari Kementerian Ketenagakerjaan sampai 1 Oktober 2020.
5. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020."
"765","""Aturan ini sangat sederhana dan untuk pemerataan agar semua orang bisa merasakan manfaat bansos. Jadi kita tidak mau tumpang tindih dengan bantuan dari Kemenaker ataupun juga yang semi-bansos dari Prakerja,"" katanya."
"766","""Ini agar tidak tumpang tindih dengan Bansos lainnya yang dilakukan. Bansos BPJS, Bansos Prakerja dan lainnya ya,"" ucap Nadiem."
"767","""Ini agar tidak tumpang tindih dengan Bansos lainnya yang dilakukan. Bansos BPJS, Bansos Prakerja dan lainnya ya,"" ucap Nadiem."
"768","""Aturan ini sangat sederhana dan untuk pemerataan agar semua orang bisa merasakan manfaat bansos. Jadi kita tidak mau tumpang tindih dengan bantuan dari Kemenaker ataupun juga yang semi-bansos dari Prakerja,"" katanya."
"769","4. Tidak menerima BSU dari Kementerian Ketenagakerjaan sampai 1 Oktober 2020.
5. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020."
"770","@TokopediaCare min kode voucher prakerja kok tdk bisa digunakan ya? https://t.co/Yj5wuYh6nl"
"771","""Ini agar tidak tumpang tindih dengan Bansos lainnya yang dilakukan. Bansos BPJS, Bansos Prakerja dan lainnya ya,"" ucap Nadiem."
"772","""Aturan ini sangat sederhana dan untuk pemerataan agar semua orang bisa merasakan manfaat bansos. Jadi kita tidak mau tumpang tindih dengan bantuan dari Kemenaker ataupun juga yang semi-bansos dari Prakerja,"" katanya."
"773","4. Tidak menerima BSU dari Kementerian Ketenagakerjaan sampai 1 Oktober 2020.
5. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020."
"774","4. Tidak menerima BSU dari Kementerian Ketenagakerjaan sampai 1 Oktober 2020.
5. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020."
"775","""Aturan ini sangat sederhana dan untuk pemerataan agar semua orang bisa merasakan manfaat bansos. Jadi kita tidak mau tumpang tindih dengan bantuan dari Kemenaker ataupun juga yang semi-bansos dari Prakerja,"" katanya."
"776","""Ini agar tidak tumpang tindih dengan Bansos lainnya yang dilakukan. Bansos BPJS, Bansos Prakerja dan lainnya ya,"" ucap Nadiem."
"777","""Ini agar tidak tumpang tindih dengan Bansos lainnya yang dilakukan. Bansos BPJS, Bansos Prakerja dan lainnya ya,"" ucap Nadiem."
"778","""Aturan ini sangat sederhana dan untuk pemerataan agar semua orang bisa merasakan manfaat bansos. Jadi kita tidak mau tumpang tindih dengan bantuan dari Kemenaker ataupun juga yang semi-bansos dari Prakerja,"" katanya."
"779","4. Tidak menerima BSU dari Kementerian Ketenagakerjaan sampai 1 Oktober 2020.
5. Tidak menerima Kartu Prakerja sampai 1 Oktober 2020."
"780","@EnggalPMT Belum dapat pekerjaan, daftar ke kartu prakerja aja pak.  Jimly"
"781","@kring_pajak yang termasuk dalam definisi penghasilan nya itu apa aja ya ka ?? apakah untuk bantuan seperti BLT BPJS dan Prakerja apakah termasuk dalam penghasilan ?"
"782","Cuma ngandelin prakerja doang <U+0001F602>"
"783","@lawancovid19_id Aku ga kerja, ga pernah berhasil daftar kartu prakerja, tapi Alhamdulillah aku bersyukur. Karena ga nambah"" in utang negara. <U+0001F64F>"
"784","@BPJSTK_Mobile Kalau saya liat bagus kerja kartu prakerja lagi dari pada BPJS....?kapan cair ke BCA"
"785","Boro boro dapetin kamu, daftar prakerja aja aku mah apa atuh gagal deui, alumni gelombang 3"
"786","@yusrawii Ayah kenapa prakerja ku gagal terus"
"787","Kalo beralih karier, sepadan gak ya?

Yuk kita ngobrol bareng soal alih karir bersama Rama, Paw dan Hengki (Direktur Operasi Prakerja) malam ini, live di Youtube. 

Klik https://t.co/U0VC8JO4ix ya untuk join :) https://t.co/dbNzc9yKyZ"
"788","@sita_hapsari Udah lulus sma bund, tapi ga mau kuliah..mau ikut program kartu prakerja aja katanya.."
"789","Cuma mau ngasih tau, buat yang lolos prakerja hanya dgn beberapa kali coba, kalian kalau dananya udah di transfer gak usah pamer bisa nda? Jujur aku yang udah nyoba 10 kali sampe udah gak bisa ikutan lagi karena gagal terus tuh muak lihatnya. Gak baper kok, cuma ya wes gitu loh."
"790","@deemeter_ @txtdrstoryWA daftar prakerja , tapi utk tahun ini udah ditutup. tahun mungkin ada lagi"
"791","@mohsfzen @lawancovid19_id udah coba daftar prakerja blm?"
"792","Sorry bukan bermaksud julid atau apa ya. Cuma sayang aja uang prakerja bukannya dipake buat kebutuhan usaha atau yg urgent, malah dibuat foya foya cekout shopi:) https://t.co/czXmuQMXhH"
"793","sempro prakerja https://t.co/rQE4VpIMhp"
"794","Kemendikbud resmi luncurkan program BLT berupa subsidi upah senilai Rp1,8 juta utk guru honorer. Ada beberapa syarat yg harus dipenuhi sushimitra, salah satunya tidak menerima bantuan subsidi upah atau gaji dari Kementerian Tenaga Ketenagakerjaan dan Kartu Prakerja #SEKAPURTULIS https://t.co/ySo5sG4UyQ"
"795","Pada ngomongin blt sama prakerja weh sedih gue ga dapet semua"
"796","@RamliRizal Yaya yaya yaya. Kesannya Pemodal nagih bagian, walau ngga rasional, not smart move, aroma janggal Kartu Prakerja, Beli Projek Gojek pakai Uang BUMNenek... atau yang lainnya."
"797","@sbyfess setane kongkon daftar prakerja supoyo belajar bidang kuliner"
"798","@hipohan Haduh takut juga, banyak lho kata2 Prof mpud yang kejadian, dr  UU prakerja ampe malaikat jadi setan kalau masuk pemerintahan.  
Apa ini akhir dr indonesia??"
"799","@shanselalubenar @ngalammenfess Enak banget tangi"" prakerja tulisan e ""sudah ditransfer"""
"800","@prakerjagoid Prakerja saya kok gak keluar keluar ya sertifikatnya? Bisa dibantu?"
"801","@TokopediaCare Min mau Tanya terkait prakerja,
Kan Sudah selesai pelatihan dan Sudah memberikan penilaian, kok sertifikanya tidak muncul2 di prakerja ya?"
"802","@prakerjagoid knp sertifikat belum muncul juga yaa di dashboard prakerja"
"803","@permadiaktivis1 @bintangemon @NajwaShihab bang ada lowongan jadi buzzer gak? dpt kartu prakerja dapetnya gak nyampe sejuta, lu bacot doang bisa jalan2 ke LN, bagi2 lah kerjaanya"
"804","gaya banget di sosmed padahal duit dari prakerja"
"805","Kemendikbud mulai mencairkan dana BLT untuk guru honorer sejak kemarin hingga Juni 2021, sebesar 1,8 juta. Syaratnya penghasilan di bawah 5 juta/bulan, tidak menerima BSU dari Kemnaker, dan tidak menerima kartu prakerja sampai 1 Oktober 2020. #Pagiindah @radiotelstar"
"806","sisa saldo #prakerja masih ada, daripada sayang saldonya tidak dipakai, cuss deh beli pelatihan lagi di skill academy, karena selain video nya bisa diakses tanpa batas waktu kamu juga akan dapet bonus data internet loh. More info https://t.co/7wTf7EU2tF untuk pendampingannya. https://t.co/MoydE6vbaL"
"807","@Ridwangumelar_ Jangankan tv, baru sekali dftr prakerja aja langsung lolos :')."
"808","@gopayindonesia haloo kak, saya ingin upgrade gopay dengan surat keterangan KTP tapi nggak bisa. Tolonglah. Saya daftar prakerja dengan surat keterangan dan lolos. Saya ingin sambungan ke gopay<U+0001F64F>"
"809","@Rapper_Melki @Joss_Van_Dick Basi pertanyaannya... 
Datang aja ke pabriknya... trus pesan, kalo ada uangx sih.. 
Eh sdh nikmati BLT dan kartu prakerja belum? Itu bantuan pemerintah juga lho <U+0001F603><U+0001F603><U+0001F603>"
"810","Kerja, Prakerja, Dikerjain"
"811","@tonibandunk @syrfhwardah @Ngawur_1 @Arifrakhmanncc Udh Lolos ngab kartu prakerja nya belum??
Kalo belum memang tae anjeng yah itu prakerja 6x gak lolos <U+0001F923><U+0001F923><U+0001F923><U+0001F923> LOL
Udh lah ngab kalo gak lolos prakerja maen togel lagi,jangan so ngasih tau orang dari kabar burung hahahahaha"
"812","Jadi cewe mah enak, insentif akun prakerja habis. Bisa bikin akun onlyfans.

Lah kita? <U+0001F923>"
"813","@Bontot_1995 Kowe melu prakerja ora tot"
"814","kemarin sy pake rekening diprakerja pake bni, tapi waktu mau ambil kartu debit ke bank ditolak karena katanya alamatnya kebalik, jadi diakun prakerja rekeningnya diputus. tp status insentif prakerja berhasil, jadi gimana ya apakah insentif sy hangus gitu aja? @BNICustomerCare"
"815","@yulius_lumi @KemnakerRI dapet prakerja gak kak?"
"816","@yudi4j4 @KemnakerRI dapet prakerja gak kak?"
"817","@nayrobijiminez Prakerja kali bun, aq soalnya jg dpt"
"818","@ampas_twitt Itu lho prakerja...."
"819","@Cassiopiaaaaa Prakerja gelombang 12"
"820","pengen ikut prakerja tapi belum cukup umur huhuhu<U+0001F625>"
"821","Dapet duit dari prakerja berasa nemu duit yg turun dari langit<U+0001F648><U+0001F648>"
"822","Kalau gini pasang muka seram swmua, kayaknya pemerintah gak ada benarnya.....coba kalau pas dpt prakerja, umkm, blt.....pasang muka melas.....malah rela antri ngurus persyaratannya..... semua.......#BangsatIstana"
"823","@fucekrii jelek kartu prakerja ke"
"824","Cara Mengganti Nomor HP di Kartu Prakerja 
#kartuprakerja 
https://t.co/thnM5SvBGI"
"825","Alhamdulillah, akhirnya prakerja ku cair jugaaa. Ditungguin <U+0001F923><U+0001F923><U+0001F923><U+0001F923>"
"826","@Garda_Chairul Ini nanti bakal ada gak di pelatihan prakerja? <U+0001F602>"
"827","@bukalapak kok status di dasboard prakerja saya masih aktif ya saya sudah selesai dan mendapatkan sertifikat di tempat pelatihan saya?"
"828","@puqupowpow @tubbirfess @tubirfess Dan yg bner² ngejar skillnya kek saya malah ga lolos² daftar prakerja.. monangis <U+0001F62D>"
"829","Makasih prakerja. Lopyu<U+0001F619> https://t.co/LcpuLR4aTG"
"830","Cuma gara"" perseteruan lonte, masyarakat jadi hilang fokus sama pulau komodo, papua yang di kerok korea, uu prakerja dan masalah lain yg lebih serius..
Itu cuma karena kita sok tau dan ikut""an bahas dan ngeramein hal yg gapenting tsbt."
"831","@sociamedial :(((( kek daftar kartu prakerja yaa"
"832","YUK GUNAKAN SISA SALDO PRAKERJA DAN DAPATKAN GRATIS KUOTA DENGAN BELI KELAS PELATIHAN MIN. 250K DAN GUNAKAN FECFARPK sebagai Kode Aktifasi benefit. https://t.co/t1tGLQJTT7"
"833","YUK GUNAKAN SISA SALDO PRAKERJA DAN DAPATKAN GRATIS KUOTA DENGAN BELI KELAS PELATIHAN MIN. 250K DAN GUNAKAN FECFARPK sebagai Kode Aktifasi benefit. https://t.co/N4us72Y1OW"
"834","@tirta_hudhi Kartu sakti
Kartu tani
Kartu Indonesia pintar
Kartu sembako
Kartu prakerja
Kartu sak karepmu"
"835","@tokopedia selamat sore...tokopedia..saya ingin bertanya kenapa sertifikat saya belum muncul di dashboard prakerja ya<U+0001F64F><U+0001F64F>"
"836","@DiajengLrst Ini udah lewat pendaftarannya apa gmn kayass kebetulan blm ada ikut prakerja hehe"
"837","@KemnakerRI @idafauziyah Selamat sore bapak atau ibuk
Kenapa saya selalu gagal mengikuti prakerja dari gelombang 4 sampai gelombang 11 . Dan bsu dari kantor tempat saya bekerja saya juga tidak mendapatkannya mohon untuk d perhatikan apa permasalahannya"
"838","@tubirfess Keknya ada kok program pemerintah semacem training prakerja untuk usia"" fresh graduate, dulu pernah mau di data tapi aku udah kerja jadi ngga ikut"
